n,C,s,t,u,v
1,0.0037936800,0,0,0,0
2,0.0088652300,2,0,0,0
3,-0.0322410000,1,1,0,0
4,0.0034477800,0,2,0,0
5,-0.0408811000,0,1,1,0
6,-0.1080090000,1,1,1,0
7,-0.0885381000,2,1,1,0
8,0.1885610000,0,2,1,0
9,-0.0037087100,1,0,0,1
10,0.0051369600,0,1,0,1
11,0.0209449000,1,1,0,1
12,0.0047431900,2,1,0,1
13,-0.0072340800,2,0,1,1
14,0.0043838800,1,1,1,1
15,-0.0269403000,0,2,1,1
16,0.0558082000,3,0,1,0
17,0.0161886000,0,3,1,0
18,0.0031808600,1,3,1,0
19,0.0158960000,0,0,2,0
20,0.0471729000,1,0,2,0
21,0.0196283000,3,0,2,0
22,-0.0502782000,0,1,2,0
23,-0.0300550000,3,1,2,0
24,0.0417122000,2,2,2,0
25,-0.0397722000,0,3,2,0
26,-0.0035002400,0,6,2,0
27,-0.0106854000,3,0,0,1
28,0.0011090300,3,3,0,1
29,-0.0003139120,0,6,0,1
30,0.0035985000,3,0,1,1
31,-0.0014212100,0,6,1,1
32,-0.0038363700,1,0,2,1
33,0.0126803000,0,2,2,1
34,-0.0031827800,2,3,2,1
35,0.0033426800,0,6,2,1
36,-0.0018349100,1,1,0,2
37,0.0001124510,3,2,0,2
38,-0.0000297228,3,6,0,2
39,0.0002695510,1,0,1,2
40,0.0008326500,2,0,1,2
41,0.0015533400,0,2,1,2
42,0.0003026830,0,6,1,2
43,-0.0001843000,0,0,2,2
44,-0.0004253990,0,3,2,2
45,0.0000869243,3,3,2,2
46,-0.0004659000,0,6,2,2
47,0.0000554194,1,6,2,2
