n,C,s,t,u,v
1,0.0088049600,0,0,0,0
2,-0.2045540000,1,0,0,0
3,0.1663510000,0,1,0,0
4,0.1581140000,0,2,0,0
5,-0.1475810000,2,0,1,0
6,-0.4814970000,1,1,1,0
7,0.4154370000,0,2,1,0
8,0.0144043000,0,0,0,1
9,-0.0530054000,2,0,0,1
10,0.0143481000,0,1,0,1
11,0.0606826000,1,1,0,1
12,-0.0125894000,0,0,1,1
13,0.0109689000,1,0,1,1
14,-0.1336980000,0,3,0,0
15,0.0063840700,0,6,0,0
16,-0.0013271800,2,6,0,0
17,0.1684960000,3,0,1,0
18,-0.0507214000,0,0,2,0
19,0.0854559000,2,0,2,0
20,-0.0504475000,3,0,2,0
21,0.0104650000,1,6,2,0
22,-0.0064827200,2,6,2,0
23,-0.0084172800,0,3,0,1
24,0.0168424000,1,3,0,1
25,-0.0010229600,3,3,0,1
26,-0.0317791000,0,3,1,1
27,0.0186040000,1,0,2,1
28,-0.0041079800,0,2,2,1
29,-0.0006068480,0,0,0,2
30,-0.0049819000,1,0,0,2
31,0.0025983000,2,0,0,2
32,-0.0005605280,3,0,0,2
33,-0.0016365200,1,2,0,2
34,-0.0003287870,1,6,0,2
35,0.0001165020,2,6,0,2
36,0.0006909040,0,0,1,2
37,0.0042174900,0,3,1,2
38,0.0000565229,3,6,1,2
39,-0.0014656400,0,3,2,2
