id,name,Pitch Ration (P/D),Expanded Area Ratio (EAR),Propeller Blade Number (Z),Rn,D,KT0,KT1,KT2,KQ0,KQ1,KQ2
1,P_8799,0.88,0.54,4,45750711.07,8.8,0.379484954,-0.271647368,-0.124514242,0.046811236,-0.023878626,-0.021731067
2,P_8800,0.88,0.54,4,45750711.07,9,0.379484954,-0.271647368,-0.124514242,0.046811236,-0.023878626,-0.021731067
3,P_8801,0.88,0.54,4,45750711.07,9.2,0.379484954,-0.271647368,-0.124514242,0.046811236,-0.023878626,-0.021731067
4,P_8802,0.88,0.54,4,45750711.07,9.4,0.379484954,-0.271647368,-0.124514242,0.046811236,-0.023878626,-0.021731067
5,P_8803,0.88,0.54,4,45750711.07,9.6,0.379484954,-0.271647368,-0.124514242,0.046811236,-0.023878626,-0.021731067
6,P_8804,0.88,0.54,4,45750711.07,9.8,0.379484954,-0.271647368,-0.124514242,0.046811236,-0.023878626,-0.021731067
7,P_8805,0.88,0.54,4,45750711.07,10,0.379484954,-0.271647368,-0.124514242,0.046811236,-0.023878626,-0.021731067
8,P_8806,0.88,0.548,4,45750711.07,8.8,0.380778448,-0.274590341,-0.123549521,0.047082138,-0.024515664,-0.021474638
9,P_8807,0.88,0.548,4,45750711.07,9,0.380778448,-0.274590341,-0.123549521,0.047082138,-0.024515664,-0.021474638
10,P_8808,0.88,0.548,4,45750711.07,9.2,0.380778448,-0.274590341,-0.123549521,0.047082138,-0.024515664,-0.021474638
11,P_8809,0.88,0.548,4,45750711.07,9.4,0.380778448,-0.274590341,-0.123549521,0.047082138,-0.024515664,-0.021474638
12,P_8810,0.88,0.548,4,45750711.07,9.6,0.380778448,-0.274590341,-0.123549521,0.047082138,-0.024515664,-0.021474638
13,P_8811,0.88,0.548,4,45750711.07,9.8,0.380778448,-0.274590341,-0.123549521,0.047082138,-0.024515664,-0.021474638
14,P_8812,0.88,0.548,4,45750711.07,10,0.380778448,-0.274590341,-0.123549521,0.047082138,-0.024515664,-0.021474638
15,P_8813,0.88,0.556,4,45750711.07,8.8,0.382061418,-0.27751896,-0.122584354,0.04734992,-0.025148086,-0.021216362
16,P_8814,0.88,0.556,4,45750711.07,9,0.382061418,-0.27751896,-0.122584354,0.04734992,-0.025148086,-0.021216362
17,P_8815,0.88,0.556,4,45750711.07,9.2,0.382061418,-0.27751896,-0.122584354,0.04734992,-0.025148086,-0.021216362
18,P_8816,0.88,0.556,4,45750711.07,9.4,0.382061418,-0.27751896,-0.122584354,0.04734992,-0.025148086,-0.021216362
19,P_8817,0.88,0.556,4,45750711.07,9.6,0.382061418,-0.27751896,-0.122584354,0.04734992,-0.025148086,-0.021216362
20,P_8818,0.88,0.556,4,45750711.07,9.8,0.382061418,-0.27751896,-0.122584354,0.04734992,-0.025148086,-0.021216362
21,P_8819,0.88,0.556,4,45750711.07,10,0.382061418,-0.27751896,-0.122584354,0.04734992,-0.025148086,-0.021216362
22,P_8820,0.88,0.564,4,45750711.07,8.8,0.383333862,-0.280433225,-0.121618741,0.047614582,-0.025775892,-0.020956238
23,P_8821,0.88,0.564,4,45750711.07,9,0.383333862,-0.280433225,-0.121618741,0.047614582,-0.025775892,-0.020956238
24,P_8822,0.88,0.564,4,45750711.07,9.2,0.383333862,-0.280433225,-0.121618741,0.047614582,-0.025775892,-0.020956238
25,P_8823,0.88,0.564,4,45750711.07,9.4,0.383333862,-0.280433225,-0.121618741,0.047614582,-0.025775892,-0.020956238
26,P_8824,0.88,0.564,4,45750711.07,9.6,0.383333862,-0.280433225,-0.121618741,0.047614582,-0.025775892,-0.020956238
27,P_8825,0.88,0.564,4,45750711.07,9.8,0.383333862,-0.280433225,-0.121618741,0.047614582,-0.025775892,-0.020956238
28,P_8826,0.88,0.564,4,45750711.07,10,0.383333862,-0.280433225,-0.121618741,0.047614582,-0.025775892,-0.020956238
29,P_8827,0.88,0.572,4,45750711.07,8.8,0.384595781,-0.283333137,-0.120652681,0.047876124,-0.026399081,-0.020694266
30,P_8828,0.88,0.572,4,45750711.07,9,0.384595781,-0.283333137,-0.120652681,0.047876124,-0.026399081,-0.020694266
31,P_8829,0.88,0.572,4,45750711.07,9.2,0.384595781,-0.283333137,-0.120652681,0.047876124,-0.026399081,-0.020694266
32,P_8830,0.88,0.572,4,45750711.07,9.4,0.384595781,-0.283333137,-0.120652681,0.047876124,-0.026399081,-0.020694266
33,P_8831,0.88,0.572,4,45750711.07,9.6,0.384595781,-0.283333137,-0.120652681,0.047876124,-0.026399081,-0.020694266
34,P_8832,0.88,0.572,4,45750711.07,9.8,0.384595781,-0.283333137,-0.120652681,0.047876124,-0.026399081,-0.020694266
35,P_8833,0.88,0.572,4,45750711.07,10,0.384595781,-0.283333137,-0.120652681,0.047876124,-0.026399081,-0.020694266
36,P_8834,0.88,0.58,4,45750711.07,8.8,0.385847175,-0.286218695,-0.119686174,0.048134547,-0.027017654,-0.020430446
37,P_8835,0.88,0.58,4,45750711.07,9,0.385847175,-0.286218695,-0.119686174,0.048134547,-0.027017654,-0.020430446
38,P_8836,0.88,0.58,4,45750711.07,9.2,0.385847175,-0.286218695,-0.119686174,0.048134547,-0.027017654,-0.020430446
39,P_8837,0.88,0.58,4,45750711.07,9.4,0.385847175,-0.286218695,-0.119686174,0.048134547,-0.027017654,-0.020430446
40,P_8838,0.88,0.58,4,45750711.07,9.6,0.385847175,-0.286218695,-0.119686174,0.048134547,-0.027017654,-0.020430446
41,P_8839,0.88,0.58,4,45750711.07,9.8,0.385847175,-0.286218695,-0.119686174,0.048134547,-0.027017654,-0.020430446
42,P_8840,0.88,0.58,4,45750711.07,10,0.385847175,-0.286218695,-0.119686174,0.048134547,-0.027017654,-0.020430446
43,P_8841,0.88,0.588,4,45750711.07,8.8,0.387088043,-0.289089898,-0.118719221,0.048389849,-0.027631611,-0.020164779
44,P_8842,0.88,0.588,4,45750711.07,9,0.387088043,-0.289089898,-0.118719221,0.048389849,-0.027631611,-0.020164779
45,P_8843,0.88,0.588,4,45750711.07,9.2,0.387088043,-0.289089898,-0.118719221,0.048389849,-0.027631611,-0.020164779
46,P_8844,0.88,0.588,4,45750711.07,9.4,0.387088043,-0.289089898,-0.118719221,0.048389849,-0.027631611,-0.020164779
