H,velocity_decrease
3.03E-02,-2.06E-02
6.06E-02,-2.89E-02
9.09E-02,-3.71E-02
0.1212121,-4.54E-02
0.1515152,-5.36E-02
0.1818182,-6.19E-02
0.2121212,-7.43E-02
0.2424242,-8.66E-02
0.2727273,-9.49E-02
0.3030303,-0.1072607
0.3333333,-0.1113861
0.3636364,-0.119637
0.3939394,-0.1278878
0.4242424,-0.1361386
0.4545455,-0.1526403
0.4848485,-0.1608911
0.5151515,-0.1608911
0.5454546,-0.1773927
0.5757576,-0.1856436
0.6060606,-0.1938944
0.6363636,-0.210396
0.6666667,-0.2268977
0.6969697,-0.2351485
0.7272727,-0.2516502
0.7575758,-0.2764027
0.7878788,-0.2846535
0.8181818,-0.3011551
0.8484849,-0.3176568
0.8787879,-0.3341584
0.9090909,-0.3506601
0.9393939,-0.3589109
0.969697,-0.3754126
1,-0.3877888
1.030303,-0.4084159
1.060606,-0.4249175
1.090909,-0.44967
1.121212,-0.4661716
1.151515,-0.4744225
1.181818,-0.4991749
1.212121,-0.5156766
1.242424,-0.5321782
1.272727,-0.5486799
1.30303,-0.5651815
1.333333,-0.589934
1.363636,-0.6064357
1.393939,-0.6229373
1.424242,-0.6476898
1.454545,-0.6559406
1.484848,-0.6806931
1.515152,-0.6971947
1.545455,-0.7136964
1.575758,-0.730198
1.606061,-0.7466997
1.636364,-0.7714521
1.666667,-0.7879538
1.69697,-0.8044555
1.727273,-0.8209571
1.757576,-0.8457096
1.787879,-0.8539604
1.818182,-0.8704621
1.848485,-0.8869637
1.878788,-0.9117162
1.909091,-0.9282178
1.939394,-0.9447195
1.969697,-0.9612211
2,-0.9859736
2.030303,-1.014851
2.060606,-1.035479
2.090909,-1.068482
2.121212,-1.101485
2.151515,-1.126238
2.181818,-1.15099
2.212121,-1.175743
2.242424,-1.208746
2.272727,-1.233498
2.30303,-1.266502
2.333333,-1.291254
2.363636,-1.324257
2.393939,-1.34901
2.424242,-1.373762
2.454545,-1.406766
2.484848,-1.431518
2.515152,-1.460396
2.545455,-1.489274
2.575758,-1.514026
2.606061,-1.54703
2.636364,-1.571782
2.666667,-1.596535
2.69697,-1.629538
2.727273,-1.65429
2.757576,-1.687294
2.787879,-1.712046
2.818182,-1.736799
2.848485,-1.769802
2.878788,-1.794554
2.909091,-1.819307
2.939394,-1.85231
2.969697,-1.877063
3,-1.901815
3.030303,-1.95132
3.060606,-1.992574
3.090909,-2.033828
3.121212,-2.079208
3.151515,-2.116337
3.181818,-2.165842
3.212121,-2.207096
3.242424,-2.24835
3.272727,-2.289604
3.30303,-2.339109
3.333333,-2.380363
3.363636,-2.421617
3.393939,-2.462871
3.424242,-2.504125
3.454545,-2.55363
3.484848,-2.594884
3.515152,-2.636139
3.545455,-2.677393
3.575758,-2.718647
3.606061,-2.768152
3.636364,-2.809406
3.666667,-2.85066
3.69697,-2.900165
3.727273,-2.941419
3.757576,-2.982673
3.787879,-3.023927
3.818182,-3.069307
3.848485,-3.106436
3.878788,-3.155941
3.909091,-3.197195
3.939394,-3.238449
3.969697,-3.283828
4,-3.320957
