Date,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",,,,source,http://www.eia.gov/dnav/pet/pet_pri_spt_s1_d.htm,,,,84.34518519
1986/1/1,22.93,,,,,,,,,
1986/2/1,15.46,,,,,,,,,
1986/3/1,12.61,,,,,,,,,
1986/4/1,12.84,,,,,,,,,
1986/5/1,15.38,,,,,,,,,
1986/6/1,13.43,,,,,,,,,
1986/7/1,11.59,,,,,,,,,
1986/8/1,15.1,,,,,,,,,
1986/9/1,14.87,,,,,,,,,
1986/10/1,14.9,,,,,,,,,
1986/11/1,15.22,,,,,,,,,
1986/12/1,16.11,,,,,,,,,
1987/1/1,18.65,,,,,,,,,
1987/2/1,17.75,,,,,,,,,
1987/3/1,18.3,,,,,,,,,
1987/4/1,18.68,,,,,,,,,
1987/5/1,19.44,,,,,,,,,
1987/6/1,20.07,,,,,,,,,
1987/7/1,21.34,,,,,,,,,
1987/8/1,20.31,,,,,,,,,
1987/9/1,19.53,,,,,,,,,
1987/10/1,19.86,,,,,,,,,
1987/11/1,18.85,,,,,,,,,
1987/12/1,17.28,,,,,,,,,
1988/1/1,17.13,,,,,,,,,
1988/2/1,16.8,,,,,,,,,
1988/3/1,16.2,,,,,,,,,
1988/4/1,17.86,,,,,,,,,
1988/5/1,17.42,,,,,,,,,
1988/6/1,16.53,,,,,,,,,
1988/7/1,15.5,,,,,,,,,
1988/8/1,15.52,,,,,,,,,
1988/9/1,14.54,,,,,,,,,
1988/10/1,13.77,,,,,,,,,
1988/11/1,14.14,,,,,,,,,
1988/12/1,16.38,,,,,,,,,
1989/1/1,18.02,,,,,,,,,
1989/2/1,17.94,,,,,,,,,
1989/3/1,19.48,,,,,,,,,
1989/4/1,21.07,,,,,,,,,
1989/5/1,20.12,,,,,,,,,
1989/6/1,20.05,,,,,,,,,
1989/7/1,19.78,,,,,,,,,
1989/8/1,18.58,,,,,,,,,
1989/9/1,19.59,,,,,,,,,
1989/10/1,20.1,,,,,,,,,
1989/11/1,19.86,,,,,,,,,
1989/12/1,21.1,,,,,,,,,
1990/1/1,22.86,,,,,,,,,
1990/2/1,22.11,,,,,,,,,
1990/3/1,20.39,,,,,,,,,
1990/4/1,18.43,,,,,,,,,
1990/5/1,18.2,,,,,,,,,
1990/6/1,16.7,,,,,,,,,
1990/7/1,18.45,,,,,,,,,
1990/8/1,27.31,,,,,,,,,
1990/9/1,33.51,,,,,,,,,
1990/10/1,36.04,,,,,,,,,
1990/11/1,32.33,,,,,,,,,
1990/12/1,27.28,,,,,,,,,
1991/1/1,25.23,,,,,,,,,
1991/2/1,20.48,,,,,,,,,
1991/3/1,19.9,,,,,,,,,
1991/4/1,20.83,,,,,,,,,
1991/5/1,21.23,,,,,,,,,
1991/6/1,20.19,,,,,,,,,
1991/7/1,21.4,,,,,,,,,
1991/8/1,21.69,,,,,,,,,
1991/9/1,21.89,,,,,,,,,
1991/10/1,23.23,,,,,,,,,
1991/11/1,22.46,,,,,,,,,
1991/12/1,19.5,,,,,,,,,
1992/1/1,18.79,,,,,,,,,
1992/2/1,19.01,,,,,,,,,
1992/3/1,18.92,,,,,,,,,
1992/4/1,20.23,,,,,,,,,
1992/5/1,20.98,,,,,,,,,
1992/6/1,22.39,,,,,,,,,
1992/7/1,21.78,,,,,,,,,
1992/8/1,21.34,,,,,,,,,
1992/9/1,21.88,,,,,,,,,
1992/10/1,21.69,,,,,,,,,
1992/11/1,20.34,,,,,,,,,
1992/12/1,19.41,,,,,,,,,
1993/1/1,19.03,,,,,,,,,
1993/2/1,20.09,,,,,,,,,
1993/3/1,20.32,,,,,,,,,
1993/4/1,20.25,,,,,,,,,
1993/5/1,19.95,,,,,,,,,
1993/6/1,19.09,,,,,,,,,
1993/7/1,17.89,,,,,,,,,
1993/8/1,18.01,,,,,,,,,
1993/9/1,17.5,,,,,,,,,
1993/10/1,18.15,,,,,,,,,
1993/11/1,16.61,,,,,,,,,
1993/12/1,14.52,,,,,,,,,
1994/1/1,15.03,,,,,,,,,
1994/2/1,14.78,,,,,,,,,
1994/3/1,14.68,,,,,,,,,
1994/4/1,16.42,,,,,,,,,
1994/5/1,17.89,,,,,,,,,
1994/6/1,19.06,,,,,,,,,
1994/7/1,19.66,,,,,,,,,
1994/8/1,18.38,,,,,,,,,
1994/9/1,17.45,,,,,,,,,
1994/10/1,17.72,,,,,,,,,
1994/11/1,18.07,,,,,,,,,
1994/12/1,17.16,,,,,,,,,
1995/1/1,18.04,,,,,,,,,
1995/2/1,18.57,,,,,,,,,
1995/3/1,18.54,,,,,,,,,
1995/4/1,19.9,,,,,,,,,
1995/5/1,19.74,,,,,,,,,
1995/6/1,18.45,,,,,,,,,
1995/7/1,17.33,,,,,,,,,
1995/8/1,18.02,,,,,,,,,
1995/9/1,18.23,,,,,,,,,
1995/10/1,17.43,,,,,,,,,
1995/11/1,17.99,,,,,,,,,
1995/12/1,19.03,,,,,,,,,
1996/1/1,18.86,,,,,,,,,
1996/2/1,19.09,,,,,,,,,
1996/3/1,21.33,,,,,,,,,
1996/4/1,23.5,,,,,,,,,
1996/5/1,21.17,,,,,,,,,
1996/6/1,20.42,,,,,,,,,
1996/7/1,21.3,,,,,,,,,
1996/8/1,21.9,,,,,,,,,
1996/9/1,23.97,,,,,,,,,
1996/10/1,24.88,,,,,,,,,
1996/11/1,23.71,,,,,,,,,
1996/12/1,25.23,,,,,,,,,
1997/1/1,25.13,,,,,,,,,
1997/2/1,22.18,,,,,,,,,
1997/3/1,20.97,,,,,,,,,
1997/4/1,19.7,,,,,,,,,
1997/5/1,20.82,,,,,,,,,
1997/6/1,19.26,,,,,,,,,
1997/7/1,19.66,,,,,,,,,
1997/8/1,19.95,,,,,,,,,
1997/9/1,19.8,,,,,,,,,
1997/10/1,21.33,,,,,,,,,
1997/11/1,20.19,,,,,,,,,
1997/12/1,18.33,,,,,,,,,
1998/1/1,16.72,,,,,,,,,
1998/2/1,16.06,,,,,,,,,
1998/3/1,15.12,,,,,,,,,
1998/4/1,15.35,,,,,,,,,
1998/5/1,14.91,,,,,,,,,
1998/6/1,13.72,,,,,,,,,
1998/7/1,14.17,,,,,,,,,
1998/8/1,13.47,,,,,,,,,
1998/9/1,15.03,,,,,,,,,
1998/10/1,14.46,,,,,,,,,
