Date,demand
2000/1/1,65.1
2000/2/1,64.4
2000/3/1,64.2
2000/4/1,63.7
2000/5/1,62.6
2000/6/1,64.6
2000/7/1,64.3
2000/8/1,63.8
2000/9/1,63.4
2000/10/1,62.7
2000/11/1,62.6
2000/12/1,63.5
2001/1/1,63.7
2001/2/1,63.3
2001/3/1,62.5
2001/4/1,61.7
2001/5/1,61.3
2001/6/1,60.7
2001/7/1,60.3
2001/8/1,61.3
2001/9/1,61.4
2001/10/1,60.3
2001/11/1,59.4
2001/12/1,59.4
2002/1/1,59.2
2002/2/1,58.9
2002/3/1,59.7
2002/4/1,60.3
2002/5/1,61.4
2002/6/1,62.5
2002/7/1,63.4
2002/8/1,63.1
2002/9/1,63.3
2002/10/1,63.3
2002/11/1,63.8
2002/12/1,64.7
2003/1/1,66.7
2003/2/1,67.5
2003/3/1,67.6
2003/4/1,66.7
2003/5/1,68.6
2003/6/1,68.9
2003/7/1,68.3
2003/8/1,67.7
2003/9/1,68.1
2003/10/1,69.7
2003/11/1,70.1
2003/12/1,72.1
2004/1/1,73.8
2004/2/1,74.3
2004/3/1,73.8
2004/4/1,73.6
2004/5/1,74
2004/6/1,74.4
2004/7/1,75.3
2004/8/1,75.5
2004/9/1,75.8
2004/10/1,77.5
2004/11/1,78.9
2004/12/1,79.7
2005/1/1,79.6
2005/2/1,79.8
2005/3/1,81.3
2005/4/1,80.7
2005/5/1,79.8
2005/6/1,78.9
2005/7/1,79.2
2005/8/1,80.8
2005/9/1,81.6
2005/10/1,80.8
2005/11/1,79.9
2005/12/1,80.8
2006/1/1,82.4
2006/2/1,82.1
2006/3/1,82.4
2006/4/1,83.8
2006/5/1,86.4
2006/6/1,85.4
2006/7/1,86
2006/8/1,87.1
2006/9/1,86.5
2006/10/1,85.2
2006/11/1,86.2
2006/12/1,88.4
2007/1/1,87
2007/2/1,87.7
2007/3/1,88.9
2007/4/1,90.2
2007/5/1,90.9
2007/6/1,91
2007/7/1,92.7
2007/8/1,92.4
2007/9/1,94.4
2007/10/1,96.7
2007/11/1,99.7
2007/12/1,99.9
2008/1/1,101.9
2008/2/1,103.6
2008/3/1,107.6
2008/4/1,109.2
2008/5/1,110
2008/6/1,111.9
2008/7/1,114.1
2008/8/1,110.5
2008/9/1,106.8
2008/10/1,99.9
2008/11/1,94.2
2008/12/1,93.5
2009/1/1,90.8
2009/2/1,88.6
2009/3/1,88.8
2009/4/1,88.6
2009/5/1,90.8
2009/6/1,93.2
2009/7/1,93.6
2009/8/1,95.2
2009/9/1,96.5
2009/10/1,97.9
2009/11/1,99
2009/12/1,98.7
2010/1/1,99.3
2010/2/1,97.6
2010/3/1,98.5
2010/4/1,99.1
2010/5/1,96.9
2010/6/1,96.4
2010/7/1,98.7
2010/8/1,99.7
2010/9/1,100.7
2010/10/1,104.1
2010/11/1,104.4
2010/12/1,104.6
2011/1/1,107.8
2011/2/1,110
2011/3/1,112.7
2011/4/1,115.7
2011/5/1,115.5
2011/6/1,115.8
2011/7/1,116.4
2011/8/1,116.9
2011/9/1,114.4
2011/10/1,114.5
2011/11/1,114
2011/12/1,112.8
2012/1/1,113.2
2012/2/1,115
2012/3/1,114.8
2012/4/1,114.5
2012/5/1,112.5
2012/6/1,110.5
2012/7/1,109.7
2012/8/1,111
2012/9/1,113.1
2012/10/1,112.9
2012/11/1,111.8
2012/12/1,113.3
2013/1/1,113.5
2013/2/1,114
2013/3/1,112.6
2013/4/1,112
2013/5/1,110.8
2013/6/1,111.7
2013/7/1,110.8
2013/8/1,111.5
2013/9/1,111.9
2013/10/1,112.4
2013/11/1,111.8
2013/12/1,112.9
2014/1/1,112.4
2014/2/1,112.5
2014/3/1,113.3
2014/4/1,112.9
2014/5/1,112.7
2014/6/1,112.1
2014/7/1,112.2
2014/8/1,111
2014/9/1,108.8
2014/10/1,107
2014/11/1,104.9
2014/12/1,102
2015/1/1,98.8
2015/2/1,97.7
2015/3/1,95.8
2015/4/1,95.6
2015/5/1,97.4
2015/6/1,97
2015/7/1,95.3
2015/8/1,93.9
2015/9/1,93.1
2015/10/1,93
2015/11/1,90.7
2015/12/1,89.9
2016/1/1,88.1
2016/2/1,88.6
2016/3/1,89.2
2016/4/1,90.7
2016/5/1,90.7
2016/6/1,91.3
2016/7/1,91
2016/8/1,91.7
2016/9/1,91.8
2016/10/1,92
2016/11/1,91.2
2016/12/1,91.6
2017/1/1,89.5
