simmulate_count,hull_id,engine_id,propeller_id,NPV
0,1,1,58,162430002.98257226,00:04:45
1,1,2,58,258526369.10430294,00:11:32
2,1,3,58,273046901.01453441,00:19:43
3,1,4,58,256130066.5586724,00:22:51
4,1,1,59,166268821.82919902,00:27:36
5,1,2,59,260207639.19991836,00:34:15
6,1,3,59,272187101.00860447,00:42:27
7,1,4,59,256166341.3048189,00:45:39
8,1,1,60,177417177.62431487,00:50:24
9,1,2,60,264294090.03760225,00:57:02
10,1,3,60,272348336.37374401,01:04:56
11,1,4,60,253240381.00709549,01:08:08
12,1,1,61,184066602.9076578,01:12:53
13,1,2,61,264420549.76138505,01:19:31
14,1,3,61,272361367.05056667,01:27:26
15,1,4,61,255919984.69352141,01:30:35
16,1,1,62,190697805.8447732,01:35:20
17,1,2,62,269362676.78678948,01:42:00
18,1,3,62,271481295.01695675,01:49:56
19,1,4,62,254762073.21546146,01:53:08
20,1,1,63,198290063.0107446,01:57:54
21,1,2,63,270767113.66451681,02:04:33
22,1,3,63,269486548.81293035,02:12:18
23,1,4,63,248508242.69600013,02:15:31
24,1,1,64,156796861.22872031,02:20:17
25,1,2,64,269681814.25840151,02:27:16
26,1,3,64,270008102.57142574,02:35:26
27,1,4,64,255862074.79641908,02:38:34
28,1,1,65,163685875.24529466,02:43:18
29,1,2,65,258526369.10430294,02:50:06
30,1,3,65,273046901.01453441,02:58:15
31,1,4,65,249928047.27526683,03:01:27
32,1,1,66,168497571.46902186,03:06:12
33,1,2,66,260207639.19991836,03:12:53
34,1,3,66,272187101.00860447,03:21:04
35,1,4,66,255362156.93207902,03:24:17
36,1,1,67,173224270.69863343,03:29:03
37,1,2,67,261298626.95845956,03:35:41
38,1,3,67,273851691.51093489,03:43:52
39,1,4,67,253240381.00709549,03:47:04
40,1,1,68,184148427.5793069,03:51:49
41,1,2,68,264420549.76138505,03:58:28
42,1,3,68,272361367.05056667,04:06:25
43,1,4,68,255919984.69352141,04:09:34
44,1,1,69,190778459.19632074,04:14:22
45,1,2,69,269362676.78678948,04:21:01
46,1,3,69,272698614.73064703,04:28:59
47,1,4,69,254762073.21546146,04:32:12
48,1,1,70,199058730.19223082,04:36:59
49,1,2,70,270767113.66451681,04:43:39
50,1,3,70,266278110.54769281,04:51:27
51,1,4,70,248508242.69600013,04:54:40
52,1,1,71,150120868.02110121,04:59:26
53,1,2,71,255910791.31745949,05:06:15
54,1,3,71,269433131.72827435,05:14:28
55,1,4,71,248868089.99838656,05:17:41
56,1,1,72,165585010.49933556,05:22:27
57,1,2,72,258526369.10430294,05:29:16
58,1,3,72,272488392.60157096,05:37:27
59,1,4,72,249133428.28073788,05:40:39
60,1,1,73,168497571.46902186,05:45:24
61,1,2,73,260207639.19991836,05:52:02
62,1,3,73,272187101.00860447,06:00:12
63,1,4,73,255362156.93207902,06:03:24
64,1,1,74,175317198.52742761,06:08:09
65,1,2,74,261298626.95845956,06:14:46
66,1,3,74,273337465.64356506,06:22:56
67,1,4,74,253240381.00709549,06:26:09
68,1,1,75,186007104.78263554,06:30:53
69,1,2,75,265357779.44120878,06:37:32
70,1,3,75,272361367.05056667,06:45:26
71,1,4,75,255919984.69352141,06:48:34
72,1,1,76,192579623.17496035,06:53:18
73,1,2,76,266350239.47860864,06:59:57
74,1,3,76,272698614.73064703,07:07:52
75,1,4,76,252845298.8585321,07:11:04
76,1,1,77,194472453.75701493,07:15:50
77,1,2,77,270767113.66451681,07:22:29
78,1,3,77,266278110.54769281,07:30:15
79,1,4,77,248457183.63405991,07:33:28
80,1,1,78,161542464.70969224,07:38:13
81,1,2,78,259081740.98063844,07:45:01
82,1,3,78,270968850.17747885,07:53:11
83,1,4,78,252018268.25616801,07:56:24
84,1,1,79,170627142.33213902,08:01:09
85,1,2,79,260095097.25257757,08:07:49
86,1,3,79,274699221.28995031,08:15:59
87,1,4,79,255611285.1781781,08:19:08
88,1,1,80,175256097.41021284,08:23:52
89,1,2,80,263380347.69123748,08:30:33
90,1,3,80,274457934.58920163,08:38:42
91,1,4,80,255870626.43589398,08:41:54
92,1,1,81,181232675.35488743,08:46:38
93,1,2,81,265254165.00024047,08:53:17
94,1,3,81,270876686.93301445,09:01:12
95,1,4,81,251764386.67792678,09:04:24
96,1,1,82,187940861.87410924,09:09:09
97,1,2,82,266940533.92716977,09:15:47
98,1,3,82,267770592.95414394,09:23:30
99,1,4,82,251699265.38621104,09:26:39
100,1,1,83,195332924.37709141,09:31:23
101,1,2,83,269359195.83218771,09:38:01
102,1,3,83,266891541.47493842,09:45:44
103,1,4,83,248426648.43196735,09:48:56
104,1,1,84,203688567.37267539,09:53:40
105,1,2,84,272173663.11315149,10:00:19
106,1,3,84,268044717.75172499,10:08:04
