Date,Flat Rate,,
1998/1/15,11.25,,
1998/2/15,11.33588,,
1998/3/15,11.27863,,
1998/4/15,11.25,,
1998/5/15,11.02099,,
1998/6/15,10.87786,,
1998/7/15,10.96374,,
1998/8/15,10.90649,,
1998/9/15,10.62023,,
1998/10/15,10.62023,,
1998/11/15,10.56298,,
1998/12/15,10.44847,,
1999/1/15,10.41985,,
1999/2/15,10.39122,,
1999/3/15,10.50572,,
1999/4/15,10.44847,,
1999/5/15,10.56298,,
1999/6/15,10.50572,,
1999/7/15,10.73473,,
1999/8/15,10.64886,,
1999/9/15,10.73473,,
1999/10/15,10.67748,,
1999/11/15,10.73473,,
1999/12/15,10.82061,,
2000/1/15,10.96374,,
2000/2/15,11.42176,,
2000/3/15,11.33588,,
2000/4/15,11.62214,,
2000/5/15,11.70802,,
2000/6/15,11.87977,,
2000/7/15,11.93702,,
2000/8/15,12.05153,,
2000/9/15,12.36641,,
2000/10/15,12.39504,,
2000/11/15,12.56679,,
2000/12/15,12.6813,,
2001/1/15,12.73855,,
2001/2/15,12.73855,,
2001/3/15,12.91031,,
2001/4/15,13.08206,,
2001/5/15,12.96756,,
2001/6/15,13.02481,,
2001/7/15,13.19656,,
2001/8/15,13.19656,,
2001/9/15,13.28244,,
2001/10/15,13.25382,,
2001/11/15,13.19656,,
2001/12/15,13.02481,,
2002/1/15,13.08206,,
2002/2/15,12.91031,,
2002/3/15,12.88168,,
2002/4/15,12.73855,,
2002/5/15,12.6813,,
2002/6/15,12.45229,,
2002/7/15,12.28053,,
2002/8/15,12.28053,,
2002/9/15,12.16603,,
2002/10/15,12.16603,,
2002/11/15,12.36641,,
2002/12/15,12.33779,,
2003/1/15,12.56679,,
2003/2/15,12.62405,,
2003/3/15,12.85305,,
2003/4/15,12.88168,,
2003/5/15,12.85305,,
2003/6/15,13.13931,,
2003/7/15,13.08206,,
2003/8/15,13.22519,,
2003/9/15,13.31107,,
2003/10/15,13.08206,,
2003/11/15,13.13931,,
2003/12/15,13.42557,,
2004/1/15,13.25382,,
2004/2/15,13.25382,,
2004/3/15,13.33969,,
2004/4/15,13.22519,,
2004/5/15,13.33969,,
2004/6/15,13.19656,,
2004/7/15,13.31107,,
2004/8/15,13.39695,,
2004/9/15,13.71183,,
2004/10/15,13.71183,,
2004/11/15,14.05534,,
2004/12/15,13.96947,,
2005/1/15,14.3416,,
2005/2/15,14.3416,,
2005/3/15,14.39886,,
2005/4/15,14.74237,,
2005/5/15,14.97137,,
2005/6/15,15.02863,,
2005/7/15,15.08588,,
2005/8/15,15.31489,,
2005/9/15,15.6584,,
2005/10/15,15.83015,,
2005/11/15,16.11641,,
2005/12/15,16.11641,,
2006/1/15,16.4313,,
2006/2/15,16.74618,,
2006/3/15,17.03244,,
2006/4/15,17.43321,,
2006/5/15,17.60496,,
2006/6/15,17.71947,,
2006/7/15,17.77672,,
2006/8/15,17.71947,,
2006/9/15,17.86259,,
2006/10/15,17.91985,,
2006/11/15,17.89122,,
2006/12/15,17.83397,,
2007/1/15,17.89122,,
2007/2/15,17.83397,,
2007/3/15,18.00573,,
2007/4/15,17.89122,,
2007/5/15,17.9771,,
2007/6/15,18.00573,,
2007/7/15,18.75,,
2007/8/15,18.97901,,
2007/9/15,19.89504,,
2007/10/15,20.52481,,
2007/11/15,21.44084,,
2007/12/15,21.38359,,
2008/1/15,22.12786,,
2008/2/15,22.58588,,
2008/3/15,23.55916,,
2008/4/15,24.07443,,
2008/5/15,24.30343,,
2008/6/15,24.24618,,
2008/7/15,23.84542,,
2008/8/15,23.61641,,
2008/9/15,23.10114,,
2008/10/15,22.24237,,
2008/11/15,21.89886,,
2008/12/15,21.61259,,
2009/1/15,20.69657,,
2009/2/15,20.1813,,
2009/3/15,19.49427,,
2009/4/15,19.23664,,
2009/5/15,18.75,,
2009/6/15,19.09351,,
2009/7/15,19.43702,,
2009/8/15,19.78053,,
2009/9/15,20.06679,,
2009/10/15,20.46756,,
2009/11/15,20.75382,,
2009/12/15,21.24046,,
2010/1/15,21.44084,,
2010/2/15,21.78435,,
2010/3/15,22.07061,,
2010/4/15,22.47137,,
2010/5/15,23.2729,,
2010/6/15,23.10114,,
2010/7/15,23.38741,,
2010/8/15,23.73092,,
2010/9/15,24.01718,,
2010/10/15,24.30343,,
2010/11/15,24.58969,,
2010/12/15,24.93321,,
2011/1/15,25.21947,,
2011/2/15,25.56298,,
2011/3/15,25.84924,,
2011/4/15,26.07825,,
2011/5/15,26.3645,,
2011/6/15,26.59351,,
2011/7/15,26.87977,,
2011/8/15,27.39504,,
2011/9/15,27.6813,,
2011/10/15,27.99618,,
2011/11/15,28.31107,,
2011/12/15,28.54008,,
2012/1/15,28.71183,,
2012/2/15,28.82634,,
2012/3/15,28.94084,,
2012/4/15,28.71183,,
2012/5/15,28.31107,,
2012/6/15,28.31107,,
2012/7/15,28.25382,,
2012/8/15,27.96756,,
2012/9/15,27.7958,,
2012/10/15,27.59542,,
2012/11/15,27.62405,,
2012/12/15,27.22328,,
2013/1/15,27.05153,,
