Date,Price(Dollars per TEU),,•½‹Ï
2011/1/1,1660,,1247.5
2011/2/1,1760,,96140.97222
2011/3/1,1840,,
2011/4/1,"1,880",,
2011/5/1,1790,,
2011/6/1,1170,,
2011/7/1,1510,,
2011/8/1,1380,,
2011/9/1,1350,,
2011/10/1,1330,,
2011/11/1,1320,,
2011/12/1,1420,,
2012/1/1,1250,,
2012/2/1,1270,,
2012/3/1,1250,,
2012/4/1,1260,,
2012/5/1,1380,,
2012/6/1,1250,,
2012/7/1,1250,,
2012/8/1,1180,,
2012/9/1,1090,,
2012/10/1,1110,,
2012/11/1,1120,,
2012/12/1,1110,,
2013/1/1,"1,570",,
2013/2/1,1490,,
2013/3/1,1510,,
2013/4/1,1310,,
2013/5/1,1060,,
2013/6/1,810,,
2013/7/1,1560,,
2013/8/1,1670,,
2013/9/1,1360,,
2013/10/1,1010,,
2013/11/1,1390,,
2013/12/1,1770,,
2014/1/1,2000,,
2014/2/1,1640,,
2014/3/1,1210,,
2014/4/1,1390,,
2014/5/1,1580,,
2014/6/1,1540,,
2014/7/1,1570,,
2014/8/1,1540,,
2014/9/1,1280,,
2014/10/1,1070,,
2014/11/1,1140,,
2014/12/1,1250,,
2015/1/1,1440,,
2015/2/1,1270,,
2015/3/1,1160,,
2015/4/1,890,,
2015/5/1,860,,
2015/6/1,720,,
2015/7/1,900,,
2015/8/1,1000,,
2015/9/1,910,,
2015/10/1,690,,
2015/11/1,730,,
2015/12/1,940,,
2016/1/1,990,,
2016/2/1,730,,
2016/3/1,640,,
2016/4/1,720,,
2016/5/1,880,,
2016/6/1,890,,
2016/7/1,1090,,
2016/8/1,1040,,
2016/9/1,1160,,
2016/10/1,1080,,
2016/11/1,1170,,
2016/12/1,1270,,
