Date,Price(Dollars per TEU)
2011/1/1,830
2011/2/1,850
2011/3/1,750
2011/4/1,740
2011/5/1,670
2011/6/1,680
2011/7/1,870
2011/8/1,800
2011/9/1,820
2011/10/1,690
2011/11/1,750
2011/12/1,820
2012/1/1,730
2012/2/1,650
2012/3/1,850
2012/4/1,900
2012/5/1,108
2012/6/1,1180
2012/7/1,1160
2012/8/1,1150
2012/9/1,1010
2012/10/1,1090
2012/11/1,1040
2012/12/1,1080
2013/1/1,970
2013/2/1,950
2013/3/1,910
2013/4/1,920
2013/5/1,800
2013/6/1,820
2013/7/1,830
2013/8/1,850
2013/9/1,860
2013/10/1,820
2013/11/1,800
2013/12/1,800
2014/1/1,820
2014/2/1,820
2014/3/1,890
2014/4/1,850
2014/5/1,860
2014/6/1,850
2014/7/1,840
2014/8/1,840
2014/9/1,810
2014/10/1,850
2014/11/1,860
2014/12/1,810
2015/1/1,790
2015/2/1,700
2015/3/1,830
2015/4/1,780
2015/5/1,770
2015/6/1,710
2015/7/1,680
2015/8/1,640
2015/9/1,660
2015/10/1,640
2015/11/1,650
2015/12/1,610
2016/1/1,640
2016/2/1,660
2016/3/1,650
2016/4/1,630
2016/5/1,580
2016/6/1,570
2016/7/1,610
2016/8/1,600
2016/9/1,580
2016/10/1,620
2016/11/1,630
2016/12/1,690
