Date,Ship number,source,https://www.jsanet.or.jp/data/pdf/2018data50-1.pdf,,,,Ship number
2004/1/1,7239,0,22.33333333,3049.333333,11,,3049.333333
2004/2/1,7239,1,,3071.666667,10,,3071.666667
2004/3/1,7239,2,,3094,9,,3094
2004/4/1,7239,3,,3116.333333,8,,3116.333333
2004/5/1,7239,4,,3138.666667,7,,3138.666667
2004/6/1,7239,5,,3161,6,,3161
2004/7/1,7239,6,,3183.333333,5,,3183.333333
2004/8/1,7239,7,,3205.666667,4,,3205.666667
2004/9/1,7239,8,,3228,3,,3228
2004/10/1,7239,9,,3250.333333,2,,3250.333333
2004/11/1,7239,10,,3272.666667,1,,3272.666667
2004/12/1,7239,11,,3295,,,3295
2005/1/1,7317.25,0,,3317.333333,11,,3317.333333
2005/2/1,7395.5,1,,3339.666667,10,,3339.666667
2005/3/1,7473.75,2,,3362,9,,3362
2005/4/1,7552,3,,3384.333333,8,,3384.333333
2005/5/1,7630.25,4,,3406.666667,7,,3406.666667
2005/6/1,7708.5,5,,3429,6,,3429
2005/7/1,7786.75,6,,3451.333333,5,,3451.333333
2005/8/1,7865,7,,3473.666667,4,,3473.666667
2005/9/1,7943.25,8,,3496,3,,3496
2005/10/1,8021.5,9,,3518.333333,2,,3518.333333
2005/11/1,8099.75,10,268,3540.666667,1,,3540.666667
2005/12/1,8178,11,,3563,,,3563
2006/1/1,8289.75,0,3295,3592.916667,11,,3592.916667
2006/2/1,8401.5,1,,3622.833333,10,,3622.833333
2006/3/1,8513.25,2,,3652.75,9,,3652.75
2006/4/1,8625,3,,3682.666667,8,,3682.666667
2006/5/1,8736.75,4,,3712.583333,7,,3712.583333
2006/6/1,8848.5,5,,3742.5,6,,3742.5
2006/7/1,8960.25,6,,3772.416667,5,,3772.416667
2006/8/1,9072,7,,3802.333333,4,,3802.333333
2006/9/1,9183.75,8,,3832.25,3,,3832.25
2006/10/1,9295.5,9,,3862.166667,2,,3862.166667
2006/11/1,9407.25,10,29.91666667,3892.083333,1,,3892.083333
2006/12/1,9519,11,,3922,,,3922
2007/1/1,9627.5,0,,3953.75,11,,3953.75
2007/2/1,9736,1,,3985.5,10,,3985.5
2007/3/1,9844.5,2,,4017.25,9,,4017.25
2007/4/1,9953,3,,4049,8,,4049
2007/5/1,10061.5,4,,4080.75,7,,4080.75
