Date,flat_rate
2012/1/1,45.73684
2012/1/2,45.73684
2012/1/3,45.84211
2012/1/4,46.68421
2012/1/5,47.10526
2012/1/6,47.21053
2012/1/7,47.21053
2012/1/8,47.21053
2012/1/9,47.31579
2012/1/10,47.42105
2012/1/11,47.52632
2012/1/12,49.10526
2012/1/13,49.63158
2012/1/14,50.68421
2012/1/15,51.63158
2012/1/16,52.73684
2012/1/17,58.84211
2012/1/18,59.63158
2012/1/19,59.73684
2012/1/20,59.63158
2012/1/21,59.63158
2012/1/22,59.52632
2012/1/23,59.42105
2012/1/24,58.73684
2012/1/25,54.47368
2012/1/26,53.63158
2012/1/27,52.68421
2012/1/28,52.36842
2012/1/29,49.73684
2012/1/30,45.94737
2012/1/31,45.21053
2012/2/1,44.89474
2012/2/2,44.89474
2012/2/3,44.78947
2012/2/4,44.57895
2012/2/5,44.57895
2012/2/6,44.63158
2012/2/7,44.89474
2012/2/8,45
2012/2/9,45.10526
2012/2/10,45.21053
2012/2/11,45.52632
2012/2/12,48.21053
2012/2/13,49.10526
2012/2/14,49.94737
2012/2/15,50.05263
2012/2/16,50.05263
2012/2/17,50.05263
2012/2/18,49.89474
2012/2/19,49.94737
2012/2/20,49.73684
2012/2/21,49
2012/2/22,48.73684
2012/2/23,48.78947
2012/2/24,48.89474
2012/2/25,48.78947
2012/2/26,48.47368
2012/2/27,48.05263
2012/2/28,48.05263
2012/2/29,48.05263
2012/3/1,48.05263
2012/3/2,48.05263
2012/3/3,49.36842
2012/3/4,49.94737
2012/3/5,50.52632
2012/3/6,51.36842
2012/3/7,51.63158
2012/3/8,52.26316
2012/3/9,52.89474
2012/3/10,54.47368
2012/3/11,59.36842
2012/3/12,59.84211
2012/3/13,60.10526
2012/3/14,60.05263
2012/3/15,60.05263
2012/3/16,59.31579
2012/3/17,58.15789
2012/3/18,57.73684
2012/3/19,55.21053
2012/3/20,54.68421
2012/3/21,54.36842
2012/3/22,54.15789
2012/3/23,54.57895
2012/3/24,59.84211
2012/3/25,62.21053
2012/3/26,62.47368
2012/3/27,64.36842
2012/3/28,64.36842
2012/3/29,64.52631
2012/3/30,64.73684
2012/3/31,64.89474
2012/4/1,64.89474
2012/4/2,64.78947
2012/4/3,64.57895
2012/4/4,64.57895
2012/4/5,64.47369
2012/4/6,64.36842
2012/4/7,63.84211
2012/4/8,61.73684
2012/4/9,60.89474
2012/4/10,60.78947
2012/4/11,60.15789
2012/4/12,60.15789
2012/4/13,56.78947
2012/4/14,52.36842
2012/4/15,49.31579
2012/4/16,48.89474
2012/4/17,49
2012/4/18,49
2012/4/19,51.10526
2012/4/20,54.78947
2012/4/21,58
2012/4/22,59.10526
2012/4/23,59.21053
2012/4/24,59.31579
2012/4/25,59.31579
2012/4/26,59
2012/4/27,56.15789
2012/4/28,55.15789
2012/4/29,54.47368
2012/4/30,54.26316
2012/5/1,54.15789
2012/5/2,53.84211
2012/5/3,53.73684
2012/5/4,53.36842
2012/5/5,52.21053
2012/5/6,51.73684
2012/5/7,51.63158
2012/5/8,51.63158
2012/5/9,51.63158
2012/5/10,51.73684
2012/5/11,52.26316
2012/5/12,54.63158
