Date,WS,,source: http://www.mol.co.jp/ir-j/data_j/pdf/market1512.pdf,,,,,converted with graphcel
2005/1/15,70,,,,,,,
2005/2/15,122.719,,,,,,,
2005/3/15,125.4562,,,,,,,
2005/4/15,92.15328,,,,,,,
2005/5/15,76.18613,,,,,,,
2005/6/15,64.47688,,,,,,,
2005/7/15,74.66545,,,,,,,
2005/8/15,79.53163,,,,,,,
2005/9/15,76.18613,,,,,,,
2005/10/15,97.62774,,,,,,,
2005/11/15,141.7275,,,,,,,
2005/12/15,183.8504,,,,,,,
2006/1/15,149.635,,,,,,,
2006/2/15,126.0645,,,,,,,
2006/3/15,105.6873,,,,,,,
2006/4/15,76.49026,,,,,,,
2006/5/15,65.8455,,,,,,,
2006/6/15,85.31022,,,,,,,
2006/7/15,113.4428,,,,,,,
2006/8/15,123.0231,,,,,,,
2006/9/15,119.3735,,,,,,,
2006/10/15,103.8625,,,,,,,
2006/11/15,74.66545,,,,,,,
2006/12/15,65.23723,,,,,,,
2007/1/15,62.0438,,,,,,,
2007/2/15,62.9562,,,,,,,
2007/3/15,67.06204,,,,,,,
2007/4/15,81.20438,,,,,,,
2007/5/15,69.79927,,,,,,,
2007/6/15,81.05231,,,,,,,
2007/7/15,64.02068,,,,,,,
2007/8/15,57.63382,,,,,,,
2007/9/15,56.11314,,,,,,,
2007/10/15,56.41727,,,,,,,
2007/11/15,70.55961,,,,,,,
2007/12/15,129.562,,,,,,,
2008/1/15,240.826,,,,,,,
2008/2/15,137.6217,,,,,,,
2008/3/15,116.9404,,,,,,,
2008/4/15,114.5073,,,,,,,
2008/5/15,132.7555,,,,,,,
2008/6/15,198.2968,,,,,,,
2008/7/15,203.3151,,,,,,,
2008/8/15,227.646,,,,,,,
2008/9/15,98.69221,,,,,,,
2008/10/15,115.8759,,,,,,,
2008/11/15,100.517,,,,,,,
2008/12/15,69.95134,,,,,,,
2009/1/15,74.36131,,,,,,,
2009/2/15,56.72141,,,,,,,
2009/3/15,45.16423,,,,,,,
2009/4/15,39.68978,,,,,,,
2009/5/15,31.4781,,,,,,,
2009/6/15,32.69465,,,,,,,
2009/7/15,47.59732,,,,,,,
2009/8/15,37.40876,,,,,,,
2009/9/15,38.77737,,,,,,,
2009/10/15,35.2798,,,,,,,
2009/11/15,43.33942,,,,,,,
2009/12/15,48.50973,,,,,,,
2010/1/15,62.65207,,,,,,,
2010/2/15,104.4708,,,,,,,
2010/3/15,79.22749,,,,,,,
2010/4/15,83.18127,,,,,,,
2010/5/15,94.73844,,,,,,,
2010/6/15,74.66545,,,,,,,
2010/7/15,94.13017,,,,,,,
2010/8/15,61.58759,,,,,,,
2010/9/15,53.37591,,,,,,,
2010/10/15,48.81387,,,,,,,
2010/11/15,47.29319,,,,,,,
2010/12/15,69.79927,,,,,,,
2011/1/15,59.61071,,,,,,,
2011/2/15,47.90146,,,,,,,
2011/3/15,63.10827,,,,,,,
2011/4/15,64.02068,,,,,,,
2011/5/15,53.22384,,,,,,,
2011/6/15,51.09489,,,,,,,
2011/7/15,56.87348,,,,,,,
2011/8/15,51.24696,,,,,,,
2011/9/15,48.2056,,,,,,,
2011/10/15,46.07664,,,,,,,
2011/11/15,46.98905,,,,,,,
2011/12/15,58.24209,,,,,,,
2012/1/15,58.54623,,,,,,,
2012/2/15,57.93796,,,,,,,
2012/3/15,52.4635,,,,,,,
2012/4/15,60.06691,,,,,,,
2012/5/15,64.17275,,,,,,,
2012/6/15,59.1545,,,,,,,
2012/7/15,47.90146,,,,,,,
2012/8/15,36.95256,,,,,,,
2012/9/15,36.04015,,,,,,,
2012/10/15,38.47324,,,,,,,
2012/11/15,37.86496,,,,,,,
2012/12/15,45.46837,,,,,,,
2013/1/15,47.29319,,,,,,,
2013/2/15,41.66667,,,,,,,
2013/3/15,35.43187,,,,,,,
2013/4/15,34.3674,,,,,,,
2013/5/15,32.99878,,,,,,,
2013/6/15,38.01703,,,,,,,
2013/7/15,41.81873,,,,,,,
2013/8/15,42.42701,,,,,,,
2013/9/15,34.8236,,,,,,,
2013/10/15,34.06326,,,,,,,
2013/11/15,38.1691,,,,,,,
2013/12/15,51.85523,,,,,,,
2014/1/15,62.5,,,,,,,
2014/2/15,58.24209,,,,,,,
2014/3/15,56.72141,,,,,,,
2014/4/15,47.59732,,,,,,,
2014/5/15,42.12287,,,,,,,
2014/6/15,38.1691,,,,,,,
2014/7/15,38.92944,,,,,,,
2014/8/15,46.53285,,,,,,,
2014/9/15,48.81387,,,,,,,
2014/10/15,43.94769,,,,,,,
2014/11/15,43.33942,,,,,,,
2014/12/15,53.22384,,,,,,,
2015/1/15,61.89173,,,,,,,
2015/2/15,69.19099,,,,,,,
2015/3/15,64.93309,,,,,,,
2015/4/15,54.28832,,,,,,,
2015/5/15,57.32969,,,,,,,
2015/6/15,63.71655,,,,,,,
2015/7/15,66.14964,,,,,,,
2015/8/15,67.36618,,,,,,,
2015/9/15,54.74453,,,,,,,
2015/10/15,48.81387,,,,,,,
2015/11/15,62.5,,,,,,,
2015/12/15,68.27859,,,,,,,
