Date,WS,,source: http://www.mol.co.jp/ir-j/data_j/pdf/market1501.pdf,,,,,converted with graphcel
2003/1/15,134.0158,,,,,,,
2003/2/15,120.4382,,,,,,,
2003/3/15,99.31753,,,,,,,
2003/4/15,99.8204,,,,,,,
2003/5/15,118.4267,,,,,,,
2003/6/15,134.5187,,,,,,,
2003/7/15,122.4497,,,,,,,
2003/8/15,110.8836,,,,,,,
2003/9/15,177.7658,,,,,,,
2003/10/15,260.7399,,,,,,,
2003/11/15,275.0718,,,,,,,
2003/12/15,158.1537,,,,,,,
2004/1/15,117.1695,,,,,,,
2004/2/15,126.9756,,,,,,,
2004/3/15,93.03161,,,,,,,
2004/4/15,81.21408,,,,,,,
2004/5/15,62.60776,,,,,,,
2004/6/15,78.19684,,,,,,,
2004/7/15,80.20834,,,,,,,
2004/8/15,77.19109,,,,,,,
2004/9/15,99.56896,,,,,,,
2004/10/15,159.1595,,,,,,,
2004/11/15,178.2687,,,,,,,
2004/12/15,143.0675,,,,,,,
2005/1/15,125.467,,,,,,,
2005/2/15,110.3807,,,,,,,
2005/3/15,70.65373,,,,,,,
2005/4/15,63.61351,,,,,,,
2005/5/15,95.04311,,,,,,,
2005/6/15,116.6667,,,,,,,
2005/7/15,122.7011,,,,,,,
2005/8/15,118.4267,,,,,,,
2005/9/15,94.79166,,,,,,,
2005/10/15,73.41954,,,,,,,
2005/11/15,64.61926,,,,,,,
2005/12/15,62.60776,,,,,,,
2006/1/15,61.60201,,,,,,,
2006/2/15,74.42529,,,,,,,
2006/3/15,73.67097,,,,,,,
2006/4/15,73.67097,,,,,,,
2006/5/15,77.69396,,,,,,,
2006/6/15,63.86494,,,,,,,
2006/7/15,57.32759,,,,,,,
2006/8/15,55.56753,,,,,,,
2006/9/15,56.57328,,,,,,,
2006/10/15,70.65373,,,,,,,
2006/11/15,147.3419,,,,,,,
2006/12/15,201.6523,,,,,,,
2007/1/15,128.2328,,,,,,,
2007/2/15,115.9124,,,,,,,
2007/3/15,120.4382,,,,,,,
2007/4/15,153.125,,,,,,,
2007/5/15,199.6408,,,,,,,
2007/6/15,212.4641,,,,,,,
2007/7/15,146.5876,,,,,,,
2007/8/15,108.8721,,,,,,,
2007/9/15,110.6322,,,,,,,
2007/10/15,83.22558,,,,,,,
2007/11/15,72.66523,,,,,,,
2007/12/15,65.625,,,,,,,
2008/1/15,51.04167,,,,,,,
2008/2/15,42.99569,,,,,,,
2008/3/15,34.44684,,,,,,,
2008/4/15,29.92098,,,,,,,
2008/5/15,37.96695,,,,,,,
2008/6/15,42.99569,,,,,,,
2008/7/15,37.46408,,,,,,,
2008/8/15,36.45833,,,,,,,
2008/9/15,39.47557,,,,,,,
2008/10/15,45.00718,,,,,,,
2008/11/15,52.04741,,,,,,,
2008/12/15,77.69396,,,,,,,
2009/1/15,96.80316,,,,,,,
2009/2/15,81.71696,,,,,,,
2009/3/15,88.50574,,,,,,,
2009/4/15,82.7227,,,,,,,
2009/5/15,83.22558,,,,,,,
2009/6/15,79.20258,,,,,,,
2009/7/15,55.56753,,,,,,,
2009/8/15,51.04167,,,,,,,
2009/9/15,47.52155,,,,,,,
2009/10/15,59.59052,,,,,,,
2009/11/15,63.11063,,,,,,,
2009/12/15,54.56178,,,,,,,
2010/1/15,58.0819,,,,,,,
2010/2/15,64.87069,,,,,,,
2010/3/15,57.07615,,,,,,,
2010/4/15,50.53879,,,,,,,
2010/5/15,52.80172,,,,,,,
2010/6/15,52.55029,,,,,,,
2010/7/15,48.77874,,,,,,,
2010/8/15,45.76149,,,,,,,
2010/9/15,45.51006,,,,,,,
2010/10/15,52.55029,,,,,,,
2010/11/15,58.58477,,,,,,,
2010/12/15,57.57902,,,,,,,
2011/1/15,55.31609,,,,,,,
2011/2/15,58.0819,,,,,,,
2011/3/15,63.11063,,,,,,,
2011/4/15,61.09914,,,,,,,
2011/5/15,52.55029,,,,,,,
2011/6/15,40.48132,,,,,,,
2011/7/15,36.45833,,,,,,,
2011/8/15,37.96695,,,,,,,
2011/9/15,37.46408,,,,,,,
2011/10/15,42.49282,,,,,,,
2011/11/15,46.5158,,,,,,,
2011/12/15,43.49856,,,,,,,
2012/1/15,35.95546,,,,,,,
2012/2/15,33.94397,,,,,,,
2012/3/15,32.93822,,,,,,,
2012/4/15,35.45259,,,,,,,
2012/5/15,41.48707,,,,,,,
2012/6/15,40.9842,,,,,,,
2012/7/15,37.96695,,,,,,,
2012/8/15,34.44684,,,,,,,
2012/9/15,37.71552,,,,,,,
2012/10/15,51.04167,,,,,,,
2012/11/15,62.10489,,,,,,,
2012/12/15,60.59626,,,,,,,
2013/1/15,56.57328,,,,,,,
2013/2/15,49.28161,,,,,,,
2013/3/15,41.98994,,,,,,,
2013/4/15,38.9727,,,,,,,
2013/5/15,38.21839,,,,,,,
2013/6/15,45.00718,,,,,,,
2013/7/15,49.03017,,,,,,,
2013/8/15,44.50431,,,,,,,
2013/9/15,42.99569,,,,,,,
2013/10/15,52.04741,,,,,,,
2013/11/15,65.12212,,,,,,,
