New ship,Secondhand ship,sell ship,profit,stdev
always,always,always,5551.2297809842075,0.0
always,always,if_high,5668.838099089677,0.0
always,always,if_low,5585.01767693869,0.0
always,always,no,5585.01767693869,0.0
always,if_high,always,5328.306173451735,0.0
always,if_high,if_high,5445.914491557202,0.0
always,if_high,if_low,5362.094069406217,0.0
always,if_high,no,5362.094069406217,0.0
always,if_low,always,5213.278506694699,0.0
always,if_low,if_high,5330.886824800167,0.0
always,if_low,if_low,5247.066402649181,0.0
always,if_low,no,5247.066402649181,0.0
always,no,always,5213.278506694699,0.0
always,no,if_high,5330.886824800167,0.0
always,no,if_low,5247.066402649181,0.0
always,no,no,5247.066402649181,0.0
if_high,always,always,5625.855584909436,0.0
if_high,always,if_high,5818.491780232501,0.0
if_high,always,if_low,5831.639993953931,0.0
if_high,always,no,5831.639993953931,0.0
if_high,if_high,always,5369.348880849848,0.0
if_high,if_high,if_high,5595.339393540289,0.0
if_high,if_high,if_low,5608.716386421456,0.0
if_high,if_high,no,5608.716386421456,0.0
if_high,if_low,always,5222.825879169629,0.0
if_high,if_low,if_high,5473.358643314882,0.0
if_high,if_low,if_low,5493.688719664419,0.0
if_high,if_low,no,5493.688719664419,0.0
if_high,no,always,5222.825879169629,0.0
if_high,no,if_high,5473.358643314882,0.0
if_high,no,if_low,5493.688719664419,0.0
if_high,no,no,5493.688719664419,0.0
if_low,always,always,5743.714273999518,0.0
if_low,always,if_high,5962.477286122391,0.0
if_low,always,if_low,6122.029112019846,0.0
if_low,always,no,6122.029112019846,0.0
if_low,if_high,always,5462.045778776613,0.0
if_low,if_high,if_high,5737.621617033761,0.0
if_low,if_high,if_low,5899.105504487373,0.0
if_low,if_high,no,5899.105504487373,0.0
if_low,if_low,always,5322.008645464645,0.0
if_low,if_low,if_high,5556.149014582351,0.0
if_low,if_low,if_low,5784.077837730334,0.0
if_low,if_low,no,5784.077837730334,0.0
if_low,no,always,5322.008645464645,0.0
if_low,no,if_high,5556.149014582351,0.0
if_low,no,if_low,5784.077837730334,0.0
if_low,no,no,5784.077837730334,0.0
no,always,always,5743.714273999518,0.0
no,always,if_high,5962.477286122391,0.0
no,always,if_low,6122.029112019846,0.0
no,always,no,6122.029112019846,0.0
no,if_high,always,5462.045778776613,0.0
no,if_high,if_high,5737.621617033761,0.0
no,if_high,if_low,5899.105504487373,0.0
no,if_high,no,5899.105504487373,0.0
no,if_low,always,5322.008645464645,0.0
no,if_low,if_high,5556.149014582351,0.0
no,if_low,if_low,5784.077837730334,0.0
no,if_low,no,5784.077837730334,0.0
no,no,always,5322.008645464645,0.0
no,no,if_high,5556.149014582351,0.0
no,no,if_low,5784.077837730334,0.0
no,no,no,5784.077837730334,0.0
share new,share new,share new,5247.066402649181,0.0
share_second,share_second,share_second,6122.029112019846,0.0
