a,b,c,d,e,f,g,h,i,j
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3622083358736857,0.010433914069724172
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3622083358736857,0.010433914069724172
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3622083358736857,0.010433914069724172
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3622083358736857,0.010433914069724172
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3622083358736857,0.010433914069724172
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3622083358736857,0.010433914069724172
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3510028663652728,0.007746389847376543
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3510028663652728,0.007746389847376543
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3510028663652728,0.007746389847376543
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.323052413677817,0.004241250459484358
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.323052413677817,0.004241250459484358
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.323052413677817,0.004241250459484358
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3069377138094491,0.005636662039284817
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3069377138094491,0.005636662039284817
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
-1,-1,-1,1095.514436104305,-1,-1,-1,-1,-1,-1
-1,-1,1392.5066121137343,1392.5066121137343,-1,-1,-1,-1,-1,-1
0.3069377138094491,0.005636662039284817
-1,-1,-1,1689.4987881231634,-1,-1,-1,-1,-1,-1
