a,b,c,d,e,f,g,h,i,j,k,l,m,expectation,variance
50,60,900,1300,50,50,103,110,0,0,0,0,0,-0.23538952,0
10,90,1100,1400,90,90,90,97,0,0,0,0,1,-0.23538952,0
80,130,1500,2000,95,140,99,120,0,0,0,0,2,-0.23538952,0
30,60,800,900,50,100,95,102,0,0,0,0,3,-0.23538952,0
30,110,700,1300,90,140,0,150,0,0,0,1,0,-0.232955157,0
0,150,300,500,105,110,98,101,0,0,0,1,1,-0.23538952,0
130,150,1000,1100,80,120,80,101,0,0,0,1,2,-0.23538952,0
10,90,800,800,60,130,105,150,0,0,0,1,3,-0.23538952,0
30,50,300,900,60,160,97,103,0,0,0,2,0,-0.171562804,0
40,120,1200,3000,100,200,90,102,0,0,0,2,1,-0.23538952,0
20,110,1000,1200,70,95,99,102,0,0,0,2,2,-0.23538952,0
120,150,900,1200,100,120,97,150,0,0,0,2,3,-0.23538952,0
60,80,300,500,50,110,98,102,0,0,0,3,0,-0.23538952,0
90,110,0,700,140,200,50,101,0,0,0,3,1,-0.23538952,0
40,90,1300,3000,0,105,99,110,0,0,0,3,2,-0.23538952,0
10,70,0,300,70,80,80,105,0,0,0,3,3,-0.23538952,0
0,70,800,1000,70,110,90,101,0,0,1,0,0,-0.277520366,0
50,130,800,1800,105,110,90,95,0,0,1,0,1,-0.23538952,0
100,100,700,1100,70,100,98,103,0,0,1,0,2,-0.23538952,0
60,110,1100,3000,60,105,90,110,0,0,1,0,3,-0.23538952,0
0,140,1500,1500,70,110,98,105,0,0,1,1,0,-0.412146005,0
90,130,1200,1300,105,120,99,110,0,0,1,1,1,-0.23538952,0
0,70,500,1300,90,140,0,105,0,0,1,1,2,-0.38783644,0
10,50,0,500,105,140,99,102,0,0,1,1,3,-0.23538952,0
30,50,300,1400,70,130,97,101,0,0,1,2,0,-0.317739124,0
0,150,600,3000,80,110,110,150,0,0,1,2,1,-0.23538952,0
50,150,1100,1300,60,130,0,120,0,0,1,2,2,-0.23538952,0
50,100,600,1000,120,140,95,105,0,0,1,2,3,-0.23538952,0
10,30,800,1300,80,90,95,120,0,0,1,3,0,-0.23538952,0
100,130,0,2000,120,200,100,150,0,0,1,3,1,-0.23538952,0
70,70,600,1400,110,120,100,105,0,0,1,3,2,-0.225252923,0
120,150,1000,1800,60,200,90,105,0,0,1,3,3,-0.23538952,0
20,120,500,1000,95,130,103,105,0,0,2,0,0,-0.23538952,0
80,150,1200,2000,95,110,101,103,0,0,2,0,1,-0.23538952,0
110,120,300,1300,60,200,97,105,0,0,2,0,2,-0.23538952,0
30,80,700,1400,70,100,0,97,0,0,2,0,3,-0.23538952,0
10,40,1500,3000,50,50,105,120,0,0,2,1,0,-0.23538952,0
0,100,600,1000,100,140,90,90,0,0,2,1,1,-1.637383995,0
0,20,700,1100,70,200,50,150,0,0,2,1,2,-0.23538952,0
140,140,1400,1500,80,100,50,103,0,0,2,1,3,-0.23538952,0
70,140,800,1500,50,110,100,150,0,0,2,2,0,-0.23538952,0
40,40,0,1300,60,95,80,80,0,0,2,2,1,-0.23538952,0
10,20,0,500,50,120,98,102,0,0,2,2,2,-0.23538952,0
10,50,300,600,50,110,90,95,0,0,2,2,3,-0.23538952,0
10,60,300,1500,130,140,105,110,0,0,2,3,0,-0.23538952,0
20,130,300,600,110,120,100,110,0,0,2,3,1,-0.239671972,0
40,140,500,1100,130,150,50,98,0,0,2,3,2,-0.23538952,0
100,120,1100,2000,100,105,90,105,0,0,2,3,3,-0.23538952,0
110,130,1400,1500,90,95,80,150,0,0,3,0,0,-0.23538952,0
40,110,300,300,80,80,101,150,0,0,3,0,1,-0.23538952,0
20,110,500,600,50,100,95,103,0,0,3,0,2,-0.23538952,0
60,140,0,2000,100,150,103,150,0,0,3,0,3,-0.23538952,0
70,90,600,900,0,50,99,101,0,0,3,1,0,-0.23538952,0
100,140,500,600,0,90,97,120,0,0,3,1,1,-0.23538952,0
0,10,800,1800,0,130,80,150,0,0,3,1,2,-0.23538952,0
110,130,300,1300,95,100,95,120,0,0,3,1,3,-0.23538952,0
120,120,800,1800,60,80,120,150,0,0,3,2,0,-0.23538952,0
60,110,500,1400,140,160,0,80,0,0,3,2,1,-0.23538952,0
10,120,300,1000,120,160,50,97,0,0,3,2,2,-0.23538952,0
20,130,1000,1500,90,105,0,97,0,0,3,2,3,-0.23538952,0
100,140,800,1300,50,140,101,102,0,0,3,3,0,-0.23538952,0
40,100,300,700,60,130,90,97,0,0,3,3,1,-0.23538952,0
60,140,1200,2000,60,130,90,95,0,0,3,3,2,-0.23538952,0
50,60,600,1300,0,70,102,120,0,0,3,3,3,-0.23538952,0
100,110,600,3000,80,160,97,110,0,1,0,0,0,-0.23538952,0
10,60,700,1500,50,200,99,120,0,1,0,0,1,-0.170921964,0
10,100,2000,2000,80,130,50,150,0,1,0,0,2,0.558110912,0
60,110,300,2000,130,160,97,110,0,1,0,0,3,-0.23538952,0
20,120,300,900,50,200,95,120,0,1,0,1,0,-0.077980664,0
40,120,900,1400,60,120,97,110,0,1,0,1,1,-0.23538952,0
20,110,300,500,50,50,95,97,0,1,0,1,2,-0.23538952,0
20,110,900,1200,105,150,98,120,0,1,0,1,3,-0.158525325,0
10,50,800,1400,110,110,98,99,0,1,0,2,0,-0.23538952,0
30,120,0,1500,110,160,80,110,0,1,0,2,1,0.117285865,0
90,120,600,600,105,150,90,102,0,1,0,2,2,-0.23538952,0
30,70,1500,1800,0,130,95,98,0,1,0,2,3,-0.23538952,0
0,120,900,1500,0,105,80,120,0,1,0,3,0,-0.23538952,0
70,150,0,300,80,80,90,90,0,1,0,3,1,-0.23538952,0
40,90,600,2000,120,200,0,97,0,1,0,3,2,-0.23538952,0
10,150,600,3000,95,140,80,101,0,1,0,3,3,0.574887499,0
40,60,700,3000,70,200,80,110,0,1,1,0,0,-0.169644188,0
70,120,500,700,100,110,90,102,0,1,1,0,1,-0.23538952,0
30,60,0,1100,50,105,98,110,0,1,1,0,2,-0.27803962,0
60,90,0,1800,100,120,0,98,0,1,1,0,3,-0.23538952,0
40,90,1300,1300,90,120,80,102,0,1,1,1,0,-0.152008185,0
0,20,1000,1800,50,70,98,99,0,1,1,1,1,-0.23538952,0
0,50,1100,1500,150,160,90,98,0,1,1,1,2,-0.23538952,0
10,120,300,1200,90,130,105,110,0,1,1,1,3,-0.23538952,0
120,140,800,3000,130,200,90,97,0,1,1,2,0,-0.23538952,0
110,120,500,900,0,120,80,101,0,1,1,2,1,-0.23538952,0
120,150,300,500,70,110,90,103,0,1,1,2,2,-0.23538952,0
10,70,1800,1800,80,150,0,103,0,1,1,2,3,-0.221054016,0
50,110,1100,1300,105,110,50,101,0,1,1,3,0,-0.23538952,0
30,100,300,1400,100,200,98,100,0,1,1,3,1,-0.153208174,0
20,110,800,1100,95,110,0,101,0,1,1,3,2,-0.066906926,0
20,50,300,1100,60,160,90,97,0,1,1,3,3,-0.23538952,0
100,130,700,1200,80,95,0,120,0,1,2,0,0,-0.23538952,0
70,80,300,1400,120,200,97,103,0,1,2,0,1,-0.23538952,0
20,140,700,1400,95,150,101,102,0,1,2,0,2,-0.23538952,0
40,80,900,1300,105,110,95,105,0,1,2,0,3,-0.23538952,0
30,130,1200,1300,60,130,0,99,0,1,2,1,0,-0.23538952,0
130,140,700,800,50,130,97,105,0,1,2,1,1,-0.23538952,0
20,60,1200,1500,90,105,97,98,0,1,2,1,2,-0.23538952,0
